               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.7179,              4.0999,              2.4333,             0.51055,             0.35791,             0.35458,             0.16037,                   0,                   0,                   0,            0.070136,           0.0033183,           0.0033183
                   1,              2.3447,              2.9026,              2.0681,             0.38262,             0.34182,             0.26223,               0.103,                   0,                   0,                   0,            0.040026,           0.0065418,           0.0065418
                   2,              2.4874,              2.9877,              2.1844,             0.17566,             0.11551,            0.048843,            0.017454,                   0,                   0,                   0,           0.0098062,           0.0096554,           0.0096554
                   3,              2.6556,              3.1699,              2.3355,             0.27342,             0.17811,             0.11682,            0.044358,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   4,               2.615,              3.1442,              2.3321,             0.30909,             0.18497,             0.12733,            0.053567,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   5,              2.5406,              3.0304,              2.2688,             0.40248,             0.35054,             0.33381,             0.14753,                   0,                   0,                   0,             0.00934,             0.00934,             0.00934
                   6,              2.4741,               2.892,              2.2084,             0.34867,              0.4009,             0.34312,             0.15993,                   0,                   0,                   0,            0.009175,            0.009175,            0.009175
                   7,              2.4002,              2.8327,              2.1942,             0.41429,             0.39376,             0.37122,             0.16758,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   8,               2.385,              2.7541,              2.1572,             0.36895,             0.30293,             0.24778,             0.10369,                   0,                   0,                   0,            0.008845,            0.008845,            0.008845
                   9,              2.3388,              2.7001,              2.1456,             0.41876,             0.38235,             0.34696,             0.16361,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                  10,              2.2909,              2.6626,              2.0997,             0.48624,             0.46914,             0.41849,             0.21527,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  11,              2.2737,              2.5872,              2.0917,             0.58425,              0.4208,             0.44663,             0.22925,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                  12,              2.2382,               2.558,              2.0629,             0.54786,             0.47424,             0.47611,             0.24546,                   0,                   0,                   0,            0.008185,            0.008185,            0.008185
                  13,              2.2219,              2.5315,              2.0673,              0.5904,             0.50702,             0.52427,             0.25347,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  14,              2.2034,              2.4553,              2.0181,             0.59402,             0.56883,             0.56367,             0.28575,                   0,                   0,                   0,            0.007855,            0.007855,            0.007855
                  15,              2.1765,              2.4401,               2.016,             0.59299,             0.52148,              0.5167,             0.26542,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                  16,              2.1397,              2.4052,              1.9811,             0.59386,              0.4497,              0.4526,             0.25224,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  17,              2.1346,               2.339,              1.9878,             0.56042,             0.55393,             0.52971,             0.27007,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  18,              2.1062,              2.3125,              1.9584,             0.63632,             0.57403,             0.59887,             0.30462,                   0,                   0,                   0,            0.007195,            0.007195,            0.007195
                  19,              2.0901,              2.2515,              1.9391,             0.60867,             0.52086,             0.56299,             0.31426,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  20,              2.0852,              2.2581,              1.9409,             0.58996,             0.60342,             0.60833,             0.33053,                   0,                   0,                   0,            0.006865,            0.006865,            0.006865
                  21,              2.0452,              2.2086,              1.9192,             0.69115,             0.57056,             0.62689,             0.35237,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                  22,              2.0547,              2.1977,              1.9281,             0.57548,             0.65621,              0.6475,             0.37262,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  23,              2.0349,               2.199,              1.9168,             0.61039,             0.66182,             0.63606,             0.34061,                   0,                   0,                   0,             0.00637,             0.00637,             0.00637
                  24,              2.0285,              2.1938,              1.9068,             0.59255,             0.65979,             0.64458,              0.3588,                   0,                   0,                   0,            0.006205,            0.006205,            0.006205
                  25,              1.9961,              2.1161,              1.8892,             0.70338,             0.66995,             0.72062,             0.41043,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  26,              2.0013,              2.1073,              1.8832,             0.70297,             0.67537,             0.71941,             0.43916,                   0,                   0,                   0,            0.005875,            0.005875,            0.005875
                  27,              1.9811,              2.0578,              1.8616,             0.67681,              0.6649,             0.68993,               0.395,                   0,                   0,                   0,             0.00571,             0.00571,             0.00571
